Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR AZMAN ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PAK TUAN AL IDRUS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ULYA HUSAMUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR. AHMAD FAKHRUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO DR MASHITAH BINTI IBRAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
32,KAMPUNG BALAI 010/16/10,"SEKOLAH KEBANGSAAN HAJI SALLEH MASRI, KUALA KEDAH",1,308,62,5,6,155,74,302,4,2
32,KAMPUNG BALAI 010/16/10,"SEKOLAH KEBANGSAAN HAJI SALLEH MASRI, KUALA KEDAH",2,374,67,1,5,215,80,368,6,0
32,KAMPUNG BALAI 010/16/10,"SEKOLAH KEBANGSAAN HAJI SALLEH MASRI, KUALA KEDAH",3,457,94,1,12,279,68,454,3,0
32,KAMPUNG BALAI 010/16/10,"SEKOLAH KEBANGSAAN HAJI SALLEH MASRI, KUALA KEDAH",4,442,90,0,6,298,47,441,1,0
32,KAMPUNG BALAI 010/16/10,"SEKOLAH KEBANGSAAN HAJI SALLEH MASRI, KUALA KEDAH",5,431,101,0,5,290,33,429,2,0
32,KAMPUNG BALAI 010/16/10,"SEKOLAH KEBANGSAAN HAJI SALLEH MASRI, KUALA KEDAH",6,480,94,1,3,351,30,479,1,0
32,KAMPUNG BALAI 010/16/10,"SEKOLAH KEBANGSAAN HAJI SALLEH MASRI, KUALA KEDAH",7,515,99,0,6,367,42,514,1,0
33,KUBANG PANGGAS 010/16/11,"SEKOLAH KEBANGSAAN DATO'  SHAARI,  KUBANG ROTAN",1,385,25,2,6,211,132,376,9,0
33,KUBANG PANGGAS 010/16/11,"SEKOLAH KEBANGSAAN DATO'  SHAARI,  KUBANG ROTAN",2,524,23,0,13,376,107,519,5,0
33,KUBANG PANGGAS 010/16/11,"SEKOLAH KEBANGSAAN DATO'  SHAARI,  KUBANG ROTAN",3,521,29,0,1,393,98,521,0,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.010 KUALA KEDAH
JUMLAH PEMILIH: 132,500                                                                                                                                                                                             MUKASURAT: 8/14",KUBANG PANGGAS 010/16/11,"SEKOLAH KEBANGSAAN DATO'  SHAARI,  KUBANG ROTAN",3,521,29,0,1,393,98,521,0,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,1,393,98,521,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DR AZMAN ISMAIL,PAK TUAN AL IDRUS,ULYA HUSAMUDIN,DR. AHMAD FAKHRUDDIN,DATO DR MASHITAH BINTI IBRAHIM,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
34,TELOK CHENGAI 010/16/12,"SEKOLAH MENENGAH KEBANGSAAN TENGKU LAKSAMANA, TELOK KECHAI",1,268,77,3,8,101,74,263,5,0
34,TELOK CHENGAI 010/16/12,"SEKOLAH MENENGAH KEBANGSAAN TENGKU LAKSAMANA, TELOK KECHAI",2,365,137,5,7,152,60,361,4,0
34,TELOK CHENGAI 010/16/12,"SEKOLAH MENENGAH KEBANGSAAN TENGKU LAKSAMANA, TELOK KECHAI",3,369,141,2,8,151,61,363,6,0
34,TELOK CHENGAI 010/16/12,"SEKOLAH MENENGAH KEBANGSAAN TENGKU LAKSAMANA, TELOK KECHAI",4,549,199,0,9,267,74,549,0,0
34,TELOK CHENGAI 010/16/12,"SEKOLAH MENENGAH KEBANGSAAN TENGKU LAKSAMANA, TELOK KECHAI",5,503,192,0,8,255,39,494,8,1
34,TELOK CHENGAI 010/16/12,"SEKOLAH MENENGAH KEBANGSAAN TENGKU LAKSAMANA, TELOK KECHAI",6,486,157,0,9,273,46,485,1,0
34,TELOK CHENGAI 010/16/12,"SEKOLAH MENENGAH KEBANGSAAN TENGKU LAKSAMANA, TELOK KECHAI",7,469,159,1,2,263,39,464,5,0
34,TELOK CHENGAI 010/16/12,"SEKOLAH MENENGAH KEBANGSAAN TENGKU LAKSAMANA, TELOK KECHAI",8,495,168,0,4,296,23,491,4,0
34,TELOK CHENGAI 010/16/12,"SEKOLAH MENENGAH KEBANGSAAN TENGKU LAKSAMANA, TELOK KECHAI",9,564,226,0,2,305,30,563,1,0
35,TAMAN SERI AMPANG 010/16/13,"SEKOLAH MENENGAH JENIS KEBANGSAAN KEAT HWA II, TAMAN SERI ABADI",1,319,228,3,6,41,34,312,7,0
35,TAMAN SERI AMPANG 010/16/13,"SEKOLAH MENENGAH JENIS KEBANGSAAN KEAT HWA II, TAMAN SERI ABADI",2,352,246,2,9,56,36,349,3,0
35,TAMAN SERI AMPANG 010/16/13,"SEKOLAH MENENGAH JENIS KEBANGSAAN KEAT HWA II, TAMAN SERI ABADI",3,484,367,1,5,76,29,478,6,0
35,TAMAN SERI AMPANG 010/16/13,"SEKOLAH MENENGAH JENIS KEBANGSAAN KEAT HWA II, TAMAN SERI ABADI",4,433,312,0,3,98,20,433,0,0
35,TAMAN SERI AMPANG 010/16/13,"SEKOLAH MENENGAH JENIS KEBANGSAAN KEAT HWA II, TAMAN SERI ABADI",5,437,284,0,6,129,17,436,1,0
35,TAMAN SERI AMPANG 010/16/13,"SEKOLAH MENENGAH JENIS KEBANGSAAN KEAT HWA II, TAMAN SERI ABADI",6,502,313,0,6,163,17,499,3,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.010 KUALA KEDAH
JUMLAH PEMILIH: 132,500                                                                                                                                                                                             MUKASURAT: 9/14",TAMAN SERI AMPANG 010/16/13,"SEKOLAH MENENGAH JENIS KEBANGSAAN KEAT HWA II, TAMAN SERI ABADI",6,502,313,0,6,163,17,499,3,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,6,163,17,499,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DR AZMAN ISMAIL,PAK TUAN AL IDRUS,ULYA HUSAMUDIN,DR. AHMAD FAKHRUDDIN,DATO DR MASHITAH BINTI IBRAHIM,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
36,TAMAN PELANGI 010/16/14,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA,
JALAN KUALA KEDAH",1,329,164,3,13,97,48,325,4,0
36,TAMAN PELANGI 010/16/14,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA,
JALAN KUALA KEDAH",2,378,196,1,6,131,44,378,0,0
36,TAMAN PELANGI 010/16/14,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA,
JALAN KUALA KEDAH",3,486,303,0,8,136,38,485,1,0
36,TAMAN PELANGI 010/16/14,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA,
JALAN KUALA KEDAH",4,432,255,1,9,136,31,432,0,0
36,TAMAN PELANGI 010/16/14,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA,
JALAN KUALA KEDAH",5,410,216,1,9,151,32,409,1,0
36,TAMAN PELANGI 010/16/14,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA,
JALAN KUALA KEDAH",6,427,214,0,4,175,34,427,0,0
36,TAMAN PELANGI 010/16/14,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA,
JALAN KUALA KEDAH",7,455,258,1,2,168,23,452,1,2
36,TAMAN PELANGI 010/16/14,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA,
JALAN KUALA KEDAH",8,502,270,0,10,189,33,502,0,0
37,PEREMBA 010/16/15,"SEKOLAH KEBANGSAAN PEREMBA,
JALAN KILANG TEBU",1,297,206,1,8,52,25,292,5,0
37,PEREMBA 010/16/15,"SEKOLAH KEBANGSAAN PEREMBA,
JALAN KILANG TEBU",2,328,202,2,2,93,28,327,1,0
37,PEREMBA 010/16/15,"SEKOLAH KEBANGSAAN PEREMBA,
JALAN KILANG TEBU",3,296,100,0,12,164,20,296,0,0
38,TAMAN SULTAN BADLISHAH 010/16/16,"SEKOLAH MENENGAH KEBANGSAAN SEBERANG PERAK, TAMAN BERJAYA",1,271,181,0,12,43,33,269,2,0
38,TAMAN SULTAN BADLISHAH 010/16/16,"SEKOLAH MENENGAH KEBANGSAAN SEBERANG PERAK, TAMAN BERJAYA",2,338,243,0,13,53,27,336,2,0
38,TAMAN SULTAN BADLISHAH 010/16/16,"SEKOLAH MENENGAH KEBANGSAAN SEBERANG PERAK, TAMAN BERJAYA",3,335,263,0,11,44,17,335,0,0
38,TAMAN SULTAN BADLISHAH 010/16/16,"SEKOLAH MENENGAH KEBANGSAAN SEBERANG PERAK, TAMAN BERJAYA",4,378,270,0,13,76,19,378,0,0
38,TAMAN SULTAN BADLISHAH 010/16/16,"SEKOLAH MENENGAH KEBANGSAAN SEBERANG PERAK, TAMAN BERJAYA",5,383,218,1,12,111,38,380,3,0
38,TAMAN SULTAN BADLISHAH 010/16/16,"SEKOLAH MENENGAH KEBANGSAAN SEBERANG PERAK, TAMAN BERJAYA",6,376,229,0,9,116,22,376,0,0
38,TAMAN SULTAN BADLISHAH 010/16/16,"SEKOLAH MENENGAH KEBANGSAAN SEBERANG PERAK, TAMAN BERJAYA",7,428,270,0,7,135,16,428,0,0
39,TAMAN MALEK 010/16/17,"SEKOLAH MENENGAH JENIS KEBANGSAAN KEAT HWA 1,
JALAN KUALA KEDAH",1,322,189,1,9,73,45,317,5,0
39,TAMAN MALEK 010/16/17,"SEKOLAH MENENGAH JENIS KEBANGSAAN KEAT HWA 1,
JALAN KUALA KEDAH",2,425,220,2,15,161,23,421,3,1
39,TAMAN MALEK 010/16/17,"SEKOLAH MENENGAH JENIS KEBANGSAAN KEAT HWA 1,
JALAN KUALA KEDAH",3,433,210,0,8,189,25,432,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.010 KUALA KEDAH
JUMLAH PEMILIH: 132,500                                                                                                                                                                                           MUKASURAT: 10/14",TAMAN MALEK 010/16/17,"SEKOLAH MENENGAH JENIS KEBANGSAAN KEAT HWA 1,
JALAN KUALA KEDAH",3,433,210,0,8,189,25,432,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,8,189,25,432,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DR AZMAN ISMAIL,PAK TUAN AL IDRUS,ULYA HUSAMUDIN,DR. AHMAD FAKHRUDDIN,DATO DR MASHITAH BINTI IBRAHIM,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
40,TELOK KECHAI 010/17/01,"SEKOLAH KEBANGSAAN TELOK KECHAI,
JALAN KUALA KEDAH",1,340,99,2,9,139,86,335,5,0
40,TELOK KECHAI 010/17/01,"SEKOLAH KEBANGSAAN TELOK KECHAI,
JALAN KUALA KEDAH",2,517,114,0,13,323,67,517,0,0
40,TELOK KECHAI 010/17/01,"SEKOLAH KEBANGSAAN TELOK KECHAI,
JALAN KUALA KEDAH",3,510,109,0,7,345,49,510,0,0
41,TAMAN SOPHIA 010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",1,289,107,3,9,97,68,284,4,1
41,TAMAN SOPHIA 010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",2,364,154,4,5,130,69,362,2,0
41,TAMAN SOPHIA 010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",3,376,144,1,8,167,55,375,1,0
41,TAMAN SOPHIA 010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",4,578,267,0,8,238,60,573,5,0
41,TAMAN SOPHIA 010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",5,538,243,0,14,219,55,531,6,1
41,TAMAN SOPHIA 010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",6,490,225,0,10,206,48,489,1,0
41,TAMAN SOPHIA 010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",7,490,195,1,8,239,39,482,8,0
41,TAMAN SOPHIA 010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",8,490,221,0,8,214,45,488,2,0
41,TAMAN SOPHIA 010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",9,445,199,0,4,216,25,444,1,0
41,TAMAN SOPHIA 010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",10,478,237,0,4,209,27,477,1,0
41,TAMAN SOPHIA 010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",11,522,280,0,6,208,28,522,0,0
41,TAMAN SOPHIA 010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",12,539,301,0,8,210,20,539,0,0
41,TAMAN SOPHIA 010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",13,576,302,0,11,240,23,576,0,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.010 KUALA KEDAH
JUMLAH PEMILIH: 132,500                                                                                                                                                                                           MUKASURAT: 11/14",TAMAN SOPHIA 010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",13,576,302,0,11,240,23,576,0,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,11,240,23,576,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DR AZMAN ISMAIL,PAK TUAN AL IDRUS,ULYA HUSAMUDIN,DR. AHMAD FAKHRUDDIN,DATO DR MASHITAH BINTI IBRAHIM,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
42,TAMAN BERSATU 010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",1,249,62,1,4,128,53,248,1,0
42,TAMAN BERSATU 010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",2,340,99,8,11,147,70,335,5,0
42,TAMAN BERSATU 010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",3,371,109,2,8,165,79,363,8,0
42,TAMAN BERSATU 010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",4,370,140,1,11,148,65,365,5,0
42,TAMAN BERSATU 010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",5,552,203,1,4,276,66,550,2,0
42,TAMAN BERSATU 010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",6,498,167,1,5,261,64,498,0,0
42,TAMAN BERSATU 010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",7,478,170,0,4,264,38,476,2,0
42,TAMAN BERSATU 010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",8,456,179,1,2,234,40,456,0,0
42,TAMAN BERSATU 010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",9,448,146,0,3,257,41,447,1,0
42,TAMAN BERSATU 010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",10,447,164,0,5,249,28,446,1,0
42,TAMAN BERSATU 010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",11,466,164,0,2,261,38,465,1,0
42,TAMAN BERSATU 010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",12,508,169,0,3,295,41,508,0,0
42,TAMAN BERSATU 010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",13,548,133,1,4,363,45,546,2,0
43,TELOK BAGAN 010/17/04,"SEKOLAH RENDAH ISLAM DARUL ULUM (SRIDU),
JALAN TELOK BAGAN",1,313,60,4,6,156,84,310,3,0
43,TELOK BAGAN 010/17/04,"SEKOLAH RENDAH ISLAM DARUL ULUM (SRIDU),
JALAN TELOK BAGAN",2,371,95,2,10,176,86,369,2,0
43,TELOK BAGAN 010/17/04,"SEKOLAH RENDAH ISLAM DARUL ULUM (SRIDU),
JALAN TELOK BAGAN",3,505,102,3,12,322,62,501,4,0
43,TELOK BAGAN 010/17/04,"SEKOLAH RENDAH ISLAM DARUL ULUM (SRIDU),
JALAN TELOK BAGAN",4,455,91,1,9,306,46,453,2,0
43,TELOK BAGAN 010/17/04,"SEKOLAH RENDAH ISLAM DARUL ULUM (SRIDU),
JALAN TELOK BAGAN",5,456,97,0,7,308,43,455,1,0
43,TELOK BAGAN 010/17/04,"SEKOLAH RENDAH ISLAM DARUL ULUM (SRIDU),
JALAN TELOK BAGAN",6,524,109,4,2,371,37,523,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.010 KUALA KEDAH
JUMLAH PEMILIH: 132,500                                                                                                                                                                                           MUKASURAT: 12/14",TELOK BAGAN 010/17/04,"SEKOLAH RENDAH ISLAM DARUL ULUM (SRIDU),
JALAN TELOK BAGAN",6,524,109,4,2,371,37,523,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",4,2,371,37,523,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DR AZMAN ISMAIL,PAK TUAN AL IDRUS,ULYA HUSAMUDIN,DR. AHMAD FAKHRUDDIN,DATO DR MASHITAH BINTI IBRAHIM,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
44,KEBUN PINANG 010/17/05,"SEKOLAH KEBANGSAAN KEBUN PINANG, TANDOP",1,311,47,3,5,178,78,311,0,0
44,KEBUN PINANG 010/17/05,"SEKOLAH KEBANGSAAN KEBUN PINANG, TANDOP",2,291,35,1,6,220,28,290,1,0
44,KEBUN PINANG 010/17/05,"SEKOLAH KEBANGSAAN KEBUN PINANG, TANDOP",3,308,32,0,1,253,21,307,1,0
45,TEBENGAU 010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",1,350,31,5,4,179,120,339,11,0
45,TEBENGAU 010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",2,388,36,3,4,243,99,385,3,0
45,TEBENGAU 010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",3,439,37,0,6,316,80,439,0,0
45,TEBENGAU 010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",4,400,20,0,3,323,53,399,1,0
45,TEBENGAU 010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",5,419,23,0,4,338,51,416,3,0
46,KAMPUNG BENUA 010/17/07,"SEKOLAH JENIS KEBANGSAAN (CINA) EIK CHOON, SIMPANG EMPAT",1,356,55,1,9,157,130,352,4,0
46,KAMPUNG BENUA 010/17/07,"SEKOLAH JENIS KEBANGSAAN (CINA) EIK CHOON, SIMPANG EMPAT",2,471,146,0,8,250,62,466,5,0
47,TAMAN CENGKEH 010/17/08,"SEKOLAH JENIS KEBANGSAAN (CINA) YIH MIN,
SIMPANG EMPAT",1,270,225,3,5,17,19,269,1,0
47,TAMAN CENGKEH 010/17/08,"SEKOLAH JENIS KEBANGSAAN (CINA) YIH MIN,
SIMPANG EMPAT",2,339,295,0,2,15,25,337,2,0
47,TAMAN CENGKEH 010/17/08,"SEKOLAH JENIS KEBANGSAAN (CINA) YIH MIN,
SIMPANG EMPAT",3,353,268,1,3,65,16,353,0,0
47,TAMAN CENGKEH 010/17/08,"SEKOLAH JENIS KEBANGSAAN (CINA) YIH MIN,
SIMPANG EMPAT",4,338,219,1,3,97,18,338,0,0
48,SIMPANG EMPAT 010/17/09,"SEKOLAH KEBANGSAAN HJ HASSAN ITAM, SIMPANG EMPAT",1,312,193,3,4,45,66,311,1,0
48,SIMPANG EMPAT 010/17/09,"SEKOLAH KEBANGSAAN HJ HASSAN ITAM, SIMPANG EMPAT",2,373,223,0,4,84,56,367,6,0
48,SIMPANG EMPAT 010/17/09,"SEKOLAH KEBANGSAAN HJ HASSAN ITAM, SIMPANG EMPAT",3,524,307,2,7,153,51,520,4,0
48,SIMPANG EMPAT 010/17/09,"SEKOLAH KEBANGSAAN HJ HASSAN ITAM, SIMPANG EMPAT",4,477,250,0,6,174,45,475,2,0
48,SIMPANG EMPAT 010/17/09,"SEKOLAH KEBANGSAAN HJ HASSAN ITAM, SIMPANG EMPAT",5,456,226,0,1,188,34,449,7,0
48,SIMPANG EMPAT 010/17/09,"SEKOLAH KEBANGSAAN HJ HASSAN ITAM, SIMPANG EMPAT",6,537,199,0,3,278,52,532,5,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.010 KUALA KEDAH
JUMLAH PEMILIH: 132,500                                                                                                                                                                                           MUKASURAT: 13/14",SIMPANG EMPAT 010/17/09,"SEKOLAH KEBANGSAAN HJ HASSAN ITAM, SIMPANG EMPAT",6,537,199,0,3,278,52,532,5,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,3,278,52,532,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DR AZMAN ISMAIL,PAK TUAN AL IDRUS,ULYA HUSAMUDIN,DR. AHMAD FAKHRUDDIN,DATO DR MASHITAH BINTI IBRAHIM,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
49,SELARONG PANJANG 010/17/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL AZIZ, SIMPANG EMPAT",1,307,67,0,2,141,87,297,10,0
49,SELARONG PANJANG 010/17/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL AZIZ, SIMPANG EMPAT",2,376,114,2,3,156,96,371,5,0
49,SELARONG PANJANG 010/17/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL AZIZ, SIMPANG EMPAT",3,557,132,2,9,321,90,554,3,0
49,SELARONG PANJANG 010/17/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL AZIZ, SIMPANG EMPAT",4,491,115,0,3,304,63,485,6,0
49,SELARONG PANJANG 010/17/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL AZIZ, SIMPANG EMPAT",5,567,121,0,1,351,94,567,0,0
50,PERMATANG IBUS 010/17/11,"SEKOLAH KEBANGSAAN KANGKONG,
SIMPANG EMPAT",1,362,27,2,2,222,108,361,1,0
50,PERMATANG IBUS 010/17/11,"SEKOLAH KEBANGSAAN KANGKONG,
SIMPANG EMPAT",2,502,23,0,2,403,67,495,7,0
50,PERMATANG IBUS 010/17/11,"SEKOLAH KEBANGSAAN KANGKONG,
SIMPANG EMPAT",3,503,28,0,0,414,58,500,3,0
51,KUALA SALA 010/17/12,"SEKOLAH KEBANGSAAN SRI MAHAWANGSA, KUALA SALA",1,331,32,4,4,152,133,325,6,0
51,KUALA SALA 010/17/12,"SEKOLAH KEBANGSAAN SRI MAHAWANGSA, KUALA SALA",2,373,41,5,8,207,110,371,2,0
51,KUALA SALA 010/17/12,"SEKOLAH KEBANGSAAN SRI MAHAWANGSA, KUALA SALA",3,438,56,0,10,290,77,433,5,0
51,KUALA SALA 010/17/12,"SEKOLAH KEBANGSAAN SRI MAHAWANGSA, KUALA SALA",4,414,43,0,2,304,62,411,3,0
51,KUALA SALA 010/17/12,"SEKOLAH KEBANGSAAN SRI MAHAWANGSA, KUALA SALA",5,440,48,0,4,320,67,439,1,0
