Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR.WAN AHMAD KAMIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RIZAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAK LONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ DATO' TUAN IBRAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",4,73,317,432,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DR.WAN AHMAD KAMIL,RIZAL,KAK LONG,USTAZ DATO' TUAN IBRAHIM,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
35,KENALI 024/19/04,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,1,242,30,5,49,157,241,1,0
35,KENALI 024/19/04,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,2,336,75,4,62,190,331,5,0
35,KENALI 024/19/04,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,3,334,79,2,35,213,329,5,0
35,KENALI 024/19/04,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,4,535,85,8,102,333,528,7,0
35,KENALI 024/19/04,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,5,442,71,7,56,305,439,3,0
35,KENALI 024/19/04,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,6,427,80,6,65,275,426,1,0
35,KENALI 024/19/04,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,7,426,77,4,70,273,424,2,0
35,KENALI 024/19/04,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,8,442,102,2,57,281,442,0,0
35,KENALI 024/19/04,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,9,417,107,4,50,249,410,7,0
35,KENALI 024/19/04,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,10,459,136,6,54,262,458,1,0
35,KENALI 024/19/04,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,11,528,148,4,60,313,525,3,0
35,KENALI 024/19/04,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,12,545,115,5,62,359,541,4,0
36,PULONG 024/19/05,MAAHAD AR-RAHMAH KENALI,1,320,53,5,76,183,317,3,0
36,PULONG 024/19/05,MAAHAD AR-RAHMAH KENALI,2,381,54,8,72,245,379,2,0
36,PULONG 024/19/05,MAAHAD AR-RAHMAH KENALI,3,416,80,5,64,266,415,1,0
37,KAMPUNG CHICHA 024/19/06,SEKOLAH KEBANGSAAN KUBANG KERIAN (2),1,308,37,4,71,193,305,3,0
37,KAMPUNG CHICHA 024/19/06,SEKOLAH KEBANGSAAN KUBANG KERIAN (2),2,332,53,4,60,209,326,6,0
37,KAMPUNG CHICHA 024/19/06,SEKOLAH KEBANGSAAN KUBANG KERIAN (2),3,482,80,8,57,336,481,1,0
37,KAMPUNG CHICHA 024/19/06,SEKOLAH KEBANGSAAN KUBANG KERIAN (2),4,430,89,3,46,289,427,3,0
37,KAMPUNG CHICHA 024/19/06,SEKOLAH KEBANGSAAN KUBANG KERIAN (2),5,460,92,4,61,302,459,1,0
37,KAMPUNG CHICHA 024/19/06,SEKOLAH KEBANGSAAN KUBANG KERIAN (2),6,577,109,7,93,365,574,2,1
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.024 KUBANG KERIAN
JUMLAH PEMILIH: 113,640                                                                                                                                                                                            MUKASURAT: 10/11",KAMPUNG CHICHA 024/19/06,SEKOLAH KEBANGSAAN KUBANG KERIAN (2),6,577,109,7,93,365,574,2,1
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",7,93,365,574,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DR.WAN AHMAD KAMIL,RIZAL,KAK LONG,USTAZ DATO' TUAN IBRAHIM,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
38,"KAMPUNG WAKAF STAN
024/19/07",SEKOLAH KEBANGSAAN WAKAF STAN,1,325,27,7,52,237,323,2,0
38,"KAMPUNG WAKAF STAN
024/19/07",SEKOLAH KEBANGSAAN WAKAF STAN,2,372,28,3,59,276,366,6,0
38,"KAMPUNG WAKAF STAN
024/19/07",SEKOLAH KEBANGSAAN WAKAF STAN,3,457,40,3,60,352,455,2,0
38,"KAMPUNG WAKAF STAN
024/19/07",SEKOLAH KEBANGSAAN WAKAF STAN,4,399,35,3,58,301,397,2,0
38,"KAMPUNG WAKAF STAN
024/19/07",SEKOLAH KEBANGSAAN WAKAF STAN,5,399,43,3,60,291,397,2,0
38,"KAMPUNG WAKAF STAN
024/19/07",SEKOLAH KEBANGSAAN WAKAF STAN,6,419,65,4,60,290,419,0,0
38,"KAMPUNG WAKAF STAN
024/19/07",SEKOLAH KEBANGSAAN WAKAF STAN,7,531,61,7,71,391,530,1,0
39,BINJAI 024/19/08,SMU (A) AL-YUNUSIAH BANGGU,1,339,35,4,82,212,333,6,0
39,BINJAI 024/19/08,SMU (A) AL-YUNUSIAH BANGGU,2,381,39,2,73,266,380,1,0
39,BINJAI 024/19/08,SMU (A) AL-YUNUSIAH BANGGU,3,463,37,3,83,338,461,2,0
39,BINJAI 024/19/08,SMU (A) AL-YUNUSIAH BANGGU,4,410,39,0,60,309,408,2,0
39,BINJAI 024/19/08,SMU (A) AL-YUNUSIAH BANGGU,5,414,42,2,50,318,412,2,0
39,BINJAI 024/19/08,SMU (A) AL-YUNUSIAH BANGGU,6,538,58,4,78,394,534,4,0
40,LUBOK PUKOL 024/19/09,SEKOLAH KEBANGSAAN BANGGU,1,353,21,8,63,260,352,1,0
40,LUBOK PUKOL 024/19/09,SEKOLAH KEBANGSAAN BANGGU,2,469,30,10,79,345,464,4,1
40,LUBOK PUKOL 024/19/09,SEKOLAH KEBANGSAAN BANGGU,3,441,22,6,55,350,433,8,0
40,LUBOK PUKOL 024/19/09,SEKOLAH KEBANGSAAN BANGGU,4,416,27,6,61,318,412,4,0
40,LUBOK PUKOL 024/19/09,SEKOLAH KEBANGSAAN BANGGU,5,478,26,6,60,385,477,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.024 KUBANG KERIAN
JUMLAH PEMILIH: 113,640                                                                                                                                                                                            MUKASURAT: 11/11",LUBOK PUKOL 024/19/09,SEKOLAH KEBANGSAAN BANGGU,5,478,26,6,60,385,477,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",6,60,385,477,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DR.WAN AHMAD KAMIL,RIZAL,KAK LONG,USTAZ DATO' TUAN IBRAHIM,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
41,BANGGU 024/19/10,SEKOLAH KEBANGSAAN BANGGU,6,248,12,2,83,144,241,7,0
41,BANGGU 024/19/10,SEKOLAH KEBANGSAAN BANGGU,7,428,33,2,100,292,427,1,0
41,BANGGU 024/19/10,SEKOLAH KEBANGSAAN BANGGU,8,353,13,2,84,251,350,3,0
41,BANGGU 024/19/10,SEKOLAH KEBANGSAAN BANGGU,9,419,25,2,84,308,419,0,0
42,MENTERA 024/19/11,SEKOLAH KEBANGSAAN MENTERA,1,314,14,4,81,211,310,4,0
42,MENTERA 024/19/11,SEKOLAH KEBANGSAAN MENTERA,2,463,28,1,133,301,463,0,0
42,MENTERA 024/19/11,SEKOLAH KEBANGSAAN MENTERA,3,397,21,4,83,286,394,3,0
42,MENTERA 024/19/11,SEKOLAH KEBANGSAAN MENTERA,4,479,30,0,109,335,474,5,0
43,HUDA 024/19/12,SEKOLAH KEBANGSAAN KUBANG KERIAN (1),1,302,45,6,49,196,296,6,0
43,HUDA 024/19/12,SEKOLAH KEBANGSAAN KUBANG KERIAN (1),2,356,61,11,45,238,355,1,0
43,HUDA 024/19/12,SEKOLAH KEBANGSAAN KUBANG KERIAN (1),3,438,94,5,66,273,438,0,0
43,HUDA 024/19/12,SEKOLAH KEBANGSAAN KUBANG KERIAN (1),4,444,109,3,59,273,444,0,0
43,HUDA 024/19/12,SEKOLAH KEBANGSAAN KUBANG KERIAN (1),5,569,137,7,58,364,566,3,0
JUMLAH,JUMLAH,JUMLAH,197,82502,10236,687,14807,55654,81384,775,343
