Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK SERI TAKIYUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR HAFIDZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HJ. ROSMADI ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ANDY TAN @ AWANG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PROF. DATO DR CHE MUSA CHE OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) IZAT BUKHARY,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",95,91,0,3,2,507,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DATUK SERI TAKIYUDDIN,DR HAFIDZAH,HJ. ROSMADI ISMAIL,ANDY TAN @ AWANG,PROF. DATO DR CHE MUSA CHE OMAR,IZAT BUKHARY,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
7,KHATIB ALI 021/08/05,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,1,225,121,42,50,1,1,0,215,10,0
7,KHATIB ALI 021/08/05,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,2,318,158,94,60,0,3,0,315,3,0
7,KHATIB ALI 021/08/05,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,3,337,179,86,66,2,1,0,334,3,0
7,KHATIB ALI 021/08/05,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,4,448,254,92,96,0,2,0,444,4,0
7,KHATIB ALI 021/08/05,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,5,429,252,102,71,0,1,1,427,2,0
7,KHATIB ALI 021/08/05,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,6,404,250,95,53,0,3,3,404,0,0
7,KHATIB ALI 021/08/05,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,7,400,216,92,89,1,0,1,399,1,0
7,KHATIB ALI 021/08/05,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,8,381,202,97,77,0,3,1,380,1,0
7,KHATIB ALI 021/08/05,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,9,439,242,103,84,0,2,1,432,7,0
7,KHATIB ALI 021/08/05,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,10,500,303,104,90,0,0,0,497,3,0
8,TANJONG MAS 021/08/06,"MAAHAD MUHAMMADI
(L) KOTA BHARU",1,255,157,42,54,0,2,0,255,0,0
8,TANJONG MAS 021/08/06,"MAAHAD MUHAMMADI
(L) KOTA BHARU",2,357,190,97,59,1,5,0,352,5,0
8,TANJONG MAS 021/08/06,"MAAHAD MUHAMMADI
(L) KOTA BHARU",3,350,206,67,71,0,3,0,347,3,0
8,TANJONG MAS 021/08/06,"MAAHAD MUHAMMADI
(L) KOTA BHARU",4,520,333,102,79,1,3,0,518,2,0
8,TANJONG MAS 021/08/06,"MAAHAD MUHAMMADI
(L) KOTA BHARU",5,410,268,70,66,1,3,1,409,1,0
8,TANJONG MAS 021/08/06,"MAAHAD MUHAMMADI
(L) KOTA BHARU",6,420,243,87,83,1,2,1,417,3,0
8,TANJONG MAS 021/08/06,"MAAHAD MUHAMMADI
(L) KOTA BHARU",7,462,262,109,88,0,2,0,461,1,0
8,TANJONG MAS 021/08/06,"MAAHAD MUHAMMADI
(L) KOTA BHARU",8,456,257,92,102,0,4,0,455,1,0
8,TANJONG MAS 021/08/06,"MAAHAD MUHAMMADI
(L) KOTA BHARU",9,505,311,106,78,0,7,0,502,3,0
8,TANJONG MAS 021/08/06,"MAAHAD MUHAMMADI
(L) KOTA BHARU",10,562,349,118,88,0,4,1,560,2,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.021 KOTA BHARU
JUMLAH PEMILIH: 115,450                                                                                                                                                                                             MUKASURAT: 4/12",TANJONG MAS 021/08/06,"MAAHAD MUHAMMADI
(L) KOTA BHARU",10,562,349,118,88,0,4,1,560,2,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",118,88,0,4,1,560,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DATUK SERI TAKIYUDDIN,DR HAFIDZAH,HJ. ROSMADI ISMAIL,ANDY TAN @ AWANG,PROF. DATO DR CHE MUSA CHE OMAR,IZAT BUKHARY,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
9,CHERANG 021/08/07,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),1,274,154,66,50,1,1,0,272,2,0
9,CHERANG 021/08/07,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),2,339,188,74,70,0,5,1,338,1,0
9,CHERANG 021/08/07,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),3,510,291,104,107,1,1,4,508,2,0
9,CHERANG 021/08/07,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),4,456,304,72,73,0,3,0,452,4,0
9,CHERANG 021/08/07,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),5,420,265,74,77,0,2,0,418,2,0
9,CHERANG 021/08/07,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),6,451,290,81,77,0,2,1,451,0,0
9,CHERANG 021/08/07,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),7,442,263,87,84,0,2,1,437,5,0
9,CHERANG 021/08/07,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),8,433,266,82,78,0,2,1,429,4,0
9,CHERANG 021/08/07,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),9,454,255,111,83,0,2,0,451,3,0
9,CHERANG 021/08/07,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),10,477,259,115,89,1,4,1,469,8,0
9,CHERANG 021/08/07,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),11,514,307,122,80,0,2,0,511,3,0
9,CHERANG 021/08/07,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),12,530,314,122,89,0,3,1,529,1,0
9,CHERANG 021/08/07,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),13,534,341,103,86,0,0,1,531,3,0
10,KAMPUNG BAYAM 021/08/08,SEKOLAH KEBANGSAAN SULTAN ISMAIL (2),1,301,185,46,66,1,0,0,298,3,0
10,KAMPUNG BAYAM 021/08/08,SEKOLAH KEBANGSAAN SULTAN ISMAIL (2),2,349,197,71,74,0,2,0,344,5,0
10,KAMPUNG BAYAM 021/08/08,SEKOLAH KEBANGSAAN SULTAN ISMAIL (2),3,526,337,82,98,0,6,0,523,3,0
10,KAMPUNG BAYAM 021/08/08,SEKOLAH KEBANGSAAN SULTAN ISMAIL (2),4,440,283,75,75,0,4,1,438,2,0
10,KAMPUNG BAYAM 021/08/08,SEKOLAH KEBANGSAAN SULTAN ISMAIL (2),5,443,287,69,80,0,4,1,441,2,0
10,KAMPUNG BAYAM 021/08/08,SEKOLAH KEBANGSAAN SULTAN ISMAIL (2),6,512,334,90,81,3,2,1,511,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.021 KOTA BHARU
JUMLAH PEMILIH: 115,450                                                                                                                                                                                             MUKASURAT: 5/12",KAMPUNG BAYAM 021/08/08,SEKOLAH KEBANGSAAN SULTAN ISMAIL (2),6,512,334,90,81,3,2,1,511,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",90,81,3,2,1,511,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DATUK SERI TAKIYUDDIN,DR HAFIDZAH,HJ. ROSMADI ISMAIL,ANDY TAN @ AWANG,PROF. DATO DR CHE MUSA CHE OMAR,IZAT BUKHARY,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
11,LANGGAR 021/08/09,SEKOLAH KEBANGSAAN LANGGAR,1,273,119,92,53,1,2,0,267,6,0
11,LANGGAR 021/08/09,SEKOLAH KEBANGSAAN LANGGAR,2,334,173,96,62,0,0,0,331,3,0
11,LANGGAR 021/08/09,SEKOLAH KEBANGSAAN LANGGAR,3,506,307,112,79,1,4,0,503,3,0
11,LANGGAR 021/08/09,SEKOLAH KEBANGSAAN LANGGAR,4,412,252,105,49,0,3,0,409,3,0
11,LANGGAR 021/08/09,SEKOLAH KEBANGSAAN LANGGAR,5,438,273,89,67,1,3,1,434,4,0
11,LANGGAR 021/08/09,SEKOLAH KEBANGSAAN LANGGAR,6,490,280,115,91,0,2,0,488,2,0
12,PAYA BEMBAN 021/08/10,SEKOLAH KEBANGSAAN ISLAH,1,313,155,81,65,0,6,0,307,6,0
12,PAYA BEMBAN 021/08/10,SEKOLAH KEBANGSAAN ISLAH,2,496,283,117,92,0,2,0,494,2,0
12,PAYA BEMBAN 021/08/10,SEKOLAH KEBANGSAAN ISLAH,3,399,230,97,66,0,1,0,394,5,0
12,PAYA BEMBAN 021/08/10,SEKOLAH KEBANGSAAN ISLAH,4,407,227,100,75,0,3,0,405,2,0
12,PAYA BEMBAN 021/08/10,SEKOLAH KEBANGSAAN ISLAH,5,463,243,131,82,0,2,2,460,3,0
12,PAYA BEMBAN 021/08/10,SEKOLAH KEBANGSAAN ISLAH,6,518,262,156,96,0,2,0,516,2,0
13,KUBANG PASU 021/09/01,SEKOLAH MENENGAH KEBANGSAAN ZAINAB 2,1,244,85,97,57,1,1,0,241,3,0
13,KUBANG PASU 021/09/01,SEKOLAH MENENGAH KEBANGSAAN ZAINAB 2,2,332,129,149,50,0,3,0,331,1,0
13,KUBANG PASU 021/09/01,SEKOLAH MENENGAH KEBANGSAAN ZAINAB 2,3,386,171,125,79,0,4,3,382,4,0
13,KUBANG PASU 021/09/01,SEKOLAH MENENGAH KEBANGSAAN ZAINAB 2,4,328,163,79,81,1,3,0,327,1,0
13,KUBANG PASU 021/09/01,SEKOLAH MENENGAH KEBANGSAAN ZAINAB 2,5,354,175,95,74,0,8,0,352,2,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.021 KOTA BHARU
JUMLAH PEMILIH: 115,450                                                                                                                                                                                             MUKASURAT: 6/12",KUBANG PASU 021/09/01,SEKOLAH MENENGAH KEBANGSAAN ZAINAB 2,5,354,175,95,74,0,8,0,352,2,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",95,74,0,8,0,352,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DATUK SERI TAKIYUDDIN,DR HAFIDZAH,HJ. ROSMADI ISMAIL,ANDY TAN @ AWANG,PROF. DATO DR CHE MUSA CHE OMAR,IZAT BUKHARY,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
14,KELOCHOR 021/09/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHENG,1,299,78,159,51,2,4,0,294,5,0
14,KELOCHOR 021/09/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHENG,2,352,108,187,51,2,2,0,350,2,0
14,KELOCHOR 021/09/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHENG,3,350,114,167,61,2,2,0,346,4,0
14,KELOCHOR 021/09/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHENG,4,306,148,111,46,0,0,1,306,0,0
14,KELOCHOR 021/09/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHENG,5,332,136,140,49,1,1,1,328,4,0
15,KEBUN SULTAN 021/09/03,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,1,234,53,135,44,0,1,0,233,1,0
15,KEBUN SULTAN 021/09/03,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,2,328,92,179,50,2,2,0,325,3,0
15,KEBUN SULTAN 021/09/03,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,3,433,153,199,69,1,3,0,425,8,0
15,KEBUN SULTAN 021/09/03,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,4,364,155,146,53,0,5,1,360,4,0
15,KEBUN SULTAN 021/09/03,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,5,396,200,117,71,0,3,2,393,3,0
16,MERBAU 021/09/04,SEKOLAH KEBANGSAAN MERBAU,1,246,49,143,48,2,2,0,244,2,0
16,MERBAU 021/09/04,SEKOLAH KEBANGSAAN MERBAU,2,311,81,166,46,3,4,0,300,11,0
16,MERBAU 021/09/04,SEKOLAH KEBANGSAAN MERBAU,3,341,106,175,51,1,2,1,336,5,0
16,MERBAU 021/09/04,SEKOLAH KEBANGSAAN MERBAU,4,516,229,196,81,2,2,1,511,5,0
16,MERBAU 021/09/04,SEKOLAH KEBANGSAAN MERBAU,5,482,249,129,100,0,0,0,478,4,0
17,ATAS BANGGOL 021/09/05,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG HWA,1,265,85,108,66,0,1,2,262,3,0
17,ATAS BANGGOL 021/09/05,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG HWA,2,343,155,111,65,0,4,4,339,4,0
17,ATAS BANGGOL 021/09/05,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG HWA,3,332,162,85,83,0,0,0,330,2,0
17,ATAS BANGGOL 021/09/05,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG HWA,4,352,181,63,97,0,8,1,350,2,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.021 KOTA BHARU
JUMLAH PEMILIH: 115,450                                                                                                                                                                                             MUKASURAT: 7/12",ATAS BANGGOL 021/09/05,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG HWA,4,352,181,63,97,0,8,1,350,2,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",63,97,0,8,1,350,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DATUK SERI TAKIYUDDIN,DR HAFIDZAH,HJ. ROSMADI ISMAIL,ANDY TAN @ AWANG,PROF. DATO DR CHE MUSA CHE OMAR,IZAT BUKHARY,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
18,JALAN PEJABAT POS LAMA 021/09/06,"MAAHAD MUHAMMADI
(P) KOTA BHARU",1,170,28,121,18,1,0,0,168,2,0
18,JALAN PEJABAT POS LAMA 021/09/06,"MAAHAD MUHAMMADI
(P) KOTA BHARU",2,248,42,166,32,1,1,0,242,6,0
18,JALAN PEJABAT POS LAMA 021/09/06,"MAAHAD MUHAMMADI
(P) KOTA BHARU",3,280,81,164,30,2,1,0,278,2,0
18,JALAN PEJABAT POS LAMA 021/09/06,"MAAHAD MUHAMMADI
(P) KOTA BHARU",4,345,146,142,51,3,1,0,343,2,0
19,BANDAR 021/09/07,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG CHENG,1,164,19,114,25,1,1,0,160,4,0
